MPN,OrderNo,OffsetX,OffsetY,OffsetRot
CPL-CAP-X7R-0603-100NF-50V,C14663,0,0,0
CC1206K_X5R8BB226,C12891,0,0,0
LMK107BJ106MALTD,C96446,0,0,0
C0603C829D5GACTU,C1685,0,0,0
CPL-CAP-X7R-0603-1UF-25V,C15849,0,0,0
PSM712-LF-T7,C32677,0,0,180
SMF05CT1G,C15879,0,0,180
SS34,C8678,0,0,0
1N4148WS,C2128,0,0,0
LTST-C190KGKT,C72043,0,0,0
LTST-C191KRKT,C72038,0,0,0
BLM18AG601SN1D,C1002,0,0,0
MX23A34NF1,C2977283,8.94,0,0
MX23A18NF1,C2977290,-8.94,0,0
KH-TYPE-C-16P,C709357,0,-5.02,0
AO3400A,C20917,0,0,180
AO3401A,C15127,0,0,180
RC1608F121CS,C22787,0,0,0
RC1608F680CS,C27592,0,0,0
RC1608F103CS,C25804,0,0,0
RC1608J512CS,C23186,0,0,0
RC1608F102CS,C21190,0,0,0
RC1608F132CS,C22765,0,0,0
RC1608F242CS,C22940,0,0,0
RC1608F331CS,C23138,0,0,0
RC1608J1R0CS,C22936,0,0,0
TLE9251VSJ,C189937,0,0,270
EL3H7(B)(TA)-G,C32565,0,0,0
B0505S-1W,C512032,0,-2.1,0
n121M31,C471593,0,0,270
STM32F105RCT6,C8345,0,0,270
AMS1117-5.0,C6187,0,0,180
XC6206P332MR,C5446,0,0,180
NX3225SA-12.000M-STD-CRS-2,C9002,0,0,0
